# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.2293,0.0757,0.0107,0.2293,0.0757,0.0107
0.4243,0.2435,0.0344,0.4285,0.2407,0.0340
0.5268,0.2990,0.0423,0.5523,0.3014,0.0426
0.6264,0.3345,0.0473,0.6890,0.3190,0.0451
0.6564,0.3343,0.0473,0.7157,0.3160,0.0447
0.6895,0.3287,0.0465,0.7598,0.3113,0.0440
0.7140,0.3303,0.0467,0.7877,0.3016,0.0427
0.7374,0.3166,0.0448,0.8010,0.2959,0.0418
0.7440,0.3221,0.0455,0.8010,0.2959,0.0418
0.7097,0.3317,0.0469,0.8143,0.2895,0.0409
0.7440,0.3196,0.0452,0.8143,0.2895,0.0409
0.7600,0.3217,0.0455,0.8143,0.2895,0.0409
0.7234,0.3174,0.0449,0.8143,0.2895,0.0409
0.7764,0.3142,0.0444,0.8143,0.2895,0.0409
0.7593,0.3201,0.0453,0.8243,0.2871,0.0406
0.7907,0.2979,0.0421,0.8343,0.2843,0.0402
0.7768,0.3032,0.0429,0.8343,0.2843,0.0402
0.7407,0.3237,0.0458,0.8343,0.2843,0.0402
0.7530,0.3171,0.0448,0.8343,0.2843,0.0402
0.7719,0.3106,0.0439,0.8419,0.2861,0.0405
0.7333,0.3283,0.0464,0.8419,0.2861,0.0405
0.7243,0.3172,0.0449,0.8419,0.2861,0.0405
0.7300,0.3195,0.0452,0.8419,0.2861,0.0405
0.7366,0.3252,0.0460,0.8419,0.2861,0.0405
0.7554,0.3171,0.0448,0.8419,0.2861,0.0405
0.7767,0.3138,0.0444,0.8419,0.2861,0.0405
0.7433,0.3183,0.0450,0.8419,0.2861,0.0405
0.7333,0.3283,0.0464,0.8419,0.2861,0.0405
0.7571,0.3145,0.0445,0.8552,0.2775,0.0392
0.7596,0.3217,0.0455,0.8552,0.2775,0.0392
0.7431,0.3181,0.0450,0.8552,0.2775,0.0392
0.7500,0.3202,0.0453,0.8552,0.2775,0.0392
0.7633,0.3181,0.0450,0.8552,0.2775,0.0392
